season,game_type,week,away_team,away_score,home_team,home_score,result,total,overtime,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,home_team_win,home_win_pct,home_ppg,home_opp_ppg,away_win_pct,away_ppg,away_opp_ppg
2019,REG,1,LA,30,CAR,27,-3,57,0,-122,111,-1.5,-106,-104,49.5,-101,-110,0,,,,,,
2019,REG,2,CLE,23,NYJ,3,-20,26,0,-278,241,-6.5,-105,-105,45.5,103,-115,0,0.0,16.0,17.0,0.0,13.0,43.0
2019,REG,2,TB,20,CAR,14,-6,34,0,240,-277,6.5,-110,-100,48.0,-105,-105,0,0.0,27.0,30.0,0.0,17.0,31.0
2019,REG,2,IND,19,TEN,17,-2,36,0,160,-178,3.0,108,-120,43.5,-111,-101,0,1.0,43.0,13.0,0.0,24.0,30.0
2019,REG,2,SEA,28,PIT,26,-2,54,0,175,-197,4.0,-109,-101,47.0,-113,101,0,0.0,3.0,33.0,1.0,21.0,20.0
2019,REG,2,BUF,28,NYG,14,-14,42,0,-113,102,-1.0,-108,-103,44.5,-103,-108,0,0.0,17.0,35.0,1.0,17.0,16.0
2019,REG,2,NE,43,MIA,0,-43,43,0,-1300,880,-18.0,-101,-109,48.5,101,-113,0,0.0,10.0,59.0,1.0,33.0,3.0
2019,REG,2,JAX,12,HOU,13,1,25,0,286,-336,7.5,-122,111,43.0,-104,-107,1,0.0,28.0,30.0,0.0,26.0,40.0
2019,REG,2,MIN,16,GB,21,5,37,0,148,-165,3.0,-102,-108,43.0,-110,-101,1,1.0,10.0,3.0,1.0,28.0,12.0
2019,REG,2,LAC,10,DET,13,3,23,0,-107,-103,-1.0,102,-113,47.0,-101,-110,1,1.0,27.0,27.0,1.0,30.0,24.0
2019,REG,2,SF,41,CIN,17,-24,58,0,-103,-107,1.0,-111,100,46.0,-113,101,0,0.0,20.0,21.0,1.0,31.0,17.0
2019,REG,2,ARI,17,BAL,23,6,40,0,513,-665,13.0,-110,-100,46.0,100,-112,1,1.0,59.0,10.0,0.0,27.0,27.0
2019,REG,2,DAL,31,WAS,21,-10,52,0,-268,233,-6.0,-115,104,46.5,104,-115,0,0.0,27.0,32.0,1.0,35.0,17.0
2019,REG,2,KC,28,OAK,10,-18,38,0,-293,252,-7.0,108,-119,53.5,107,-119,0,1.0,24.0,16.0,1.0,40.0,26.0
2019,REG,2,CHI,16,DEN,14,-2,30,0,-147,132,-3.0,103,-114,41.0,111,-123,0,0.0,16.0,24.0,0.0,3.0,10.0
2019,REG,2,NO,9,LA,27,18,36,0,107,-118,2.0,-114,103,52.5,-100,-111,1,1.0,30.0,27.0,1.0,30.0,28.0
2019,REG,2,PHI,20,ATL,24,4,44,0,-105,-105,-1.0,102,-112,53.0,-105,-106,1,0.0,12.0,28.0,1.0,32.0,27.0
2019,REG,3,CIN,17,BUF,21,4,38,0,220,-252,5.5,-104,-106,43.5,-107,-104,1,1.0,22.5,15.0,0.0,18.5,31.0
2019,REG,3,TEN,7,JAX,20,13,27,0,-125,113,-1.5,-109,-101,38.0,-100,-111,1,0.0,19.0,26.5,0.5,30.0,16.0
2019,REG,3,MIA,6,DAL,31,25,37,0,1454,-2540,22.0,102,-112,46.5,-103,-108,1,1.0,33.0,19.0,0.0,5.0,51.0
2019,REG,3,DEN,16,GB,27,11,43,0,278,-327,7.0,-108,-102,42.0,104,-116,1,1.0,15.5,9.5,0.0,15.0,20.0
2019,REG,3,ATL,24,IND,27,3,51,0,105,-116,1.0,100,-111,48.0,-107,-104,1,0.5,21.5,23.5,0.5,18.0,24.0
2019,REG,3,BAL,28,KC,33,5,61,0,191,-216,4.5,-108,-102,52.0,-103,-108,1,1.0,34.0,18.0,1.0,41.0,13.5
2019,REG,3,OAK,14,MIN,34,20,48,0,337,-405,8.5,-105,-105,43.0,-114,102,1,0.5,22.0,16.5,0.5,17.0,22.0
2019,REG,3,NYJ,14,NE,30,16,44,0,1203,-1962,20.5,-109,-101,43.0,-104,-107,1,1.0,38.0,1.5,0.0,9.5,20.0
2019,REG,3,DET,27,PHI,24,-3,51,0,188,-212,4.0,-104,-106,45.0,103,-115,0,0.5,26.0,25.5,1.0,20.0,18.5
2019,REG,3,CAR,38,ARI,20,-18,58,0,118,-131,2.5,-114,103,46.0,-104,-107,0,0.0,22.0,25.0,0.0,20.5,25.0
2019,REG,3,NYG,32,TB,31,-1,63,0,202,-230,5.0,-103,-107,48.0,101,-113,0,0.5,18.5,22.5,0.0,15.5,31.5
2019,REG,3,HOU,27,LAC,20,-7,47,0,151,-168,3.0,104,-115,49.0,101,-112,0,0.5,20.0,18.5,0.5,20.5,21.0
2019,REG,3,NO,33,SEA,27,-6,60,0,199,-225,5.0,-106,-105,44.0,-110,-101,0,1.0,24.5,23.0,0.5,19.5,27.5
2019,REG,3,PIT,20,SF,24,4,44,0,239,-276,6.0,-104,-107,44.5,-103,-108,1,1.0,36.0,17.0,0.0,14.5,30.5
2019,REG,3,LA,20,CLE,13,-7,33,0,-215,190,-4.0,-111,101,48.0,-112,100,0,0.5,18.0,23.0,1.0,28.5,18.0
2019,REG,3,CHI,31,WAS,15,-16,46,0,-232,204,-5.0,-103,-107,41.0,100,-111,0,0.0,24.0,31.5,0.5,9.5,12.0
2019,REG,4,CIN,3,PIT,27,24,30,0,160,-179,3.5,-112,101,45.5,106,-118,1,0.0,16.333333333333332,28.333333333333332,0.0,18.0,27.666666666666668
2019,REG,4,DAL,10,NO,12,2,22,0,-140,127,-2.5,-105,-105,47.0,-103,-108,1,0.6666666666666666,24.0,27.333333333333332,1.0,32.333333333333336,14.666666666666666
2019,REG,4,JAX,26,DEN,24,-2,50,0,124,-137,2.5,-102,-109,37.0,-109,-102,0,0.0,15.333333333333334,22.333333333333332,0.3333333333333333,19.333333333333332,20.0
2019,REG,4,MIN,6,CHI,16,10,22,0,-108,-102,-1.0,-101,-109,38.0,-105,-106,1,0.6666666666666666,16.666666666666668,13.0,0.6666666666666666,26.0,15.666666666666666
2019,REG,4,TB,55,LA,40,-15,95,0,385,-473,9.0,-104,-106,48.5,-104,-107,0,1.0,25.666666666666668,16.333333333333332,0.3333333333333333,22.666666666666668,25.666666666666668
2019,REG,4,SEA,27,ARI,10,-17,37,0,-238,209,-5.5,-107,-103,49.0,-101,-110,0,0.0,21.333333333333332,29.333333333333332,0.6666666666666666,25.333333333333332,26.333333333333332
2019,REG,4,WAS,3,NYG,24,21,27,0,146,-163,3.0,-101,-109,48.0,-105,-106,1,0.3333333333333333,21.0,31.333333333333332,0.0,21.0,31.333333333333332
2019,REG,4,LAC,30,MIA,10,-20,40,0,-806,602,-15.0,-103,-107,43.5,-113,101,0,0.0,5.333333333333333,44.333333333333336,0.3333333333333333,20.0,21.333333333333332
2019,REG,4,OAK,31,IND,24,-7,55,0,212,-242,5.5,-106,-104,46.0,-108,-103,0,0.6666666666666666,23.333333333333332,23.666666666666668,0.3333333333333333,16.0,26.0
2019,REG,4,CAR,16,HOU,10,-6,26,0,224,-257,5.5,-100,-110,47.5,-106,-105,0,0.6666666666666666,22.666666666666668,20.666666666666668,0.3333333333333333,26.333333333333332,23.333333333333332
2019,REG,4,KC,34,DET,30,-4,64,0,-364,307,-7.5,105,-116,54.5,101,-113,0,1.0,22.333333333333332,20.333333333333332,1.0,33.666666666666664,21.333333333333332
2019,REG,4,NE,16,BUF,10,-6,26,0,-321,274,-7.0,-102,-108,41.5,-103,-108,0,1.0,22.0,15.666666666666666,1.0,35.333333333333336,5.666666666666667
2019,REG,4,PHI,34,GB,27,-7,61,0,169,-190,3.5,-110,-100,46.0,-112,100,0,1.0,19.333333333333332,11.666666666666666,0.3333333333333333,25.333333333333332,26.0
2019,REG,4,TEN,24,ATL,10,-14,34,0,156,-174,3.5,-113,102,46.0,-113,101,0,0.3333333333333333,20.0,25.0,0.3333333333333333,22.333333333333332,17.333333333333332
2019,REG,4,CLE,40,BAL,25,-15,65,0,279,-327,7.5,-117,106,47.0,-104,-107,0,0.6666666666666666,36.666666666666664,20.0,0.3333333333333333,16.333333333333332,22.0
2019,REG,5,CLE,3,SF,31,28,34,0,199,-226,5.0,101,-111,47.5,-111,-100,1,1.0,32.0,18.0,0.5,22.25,22.75
2019,REG,5,ARI,26,CIN,23,-3,49,0,139,-154,3.0,-106,-104,45.0,-115,103,0,0.0,14.25,27.5,0.0,18.5,28.75
2019,REG,5,IND,19,KC,13,-6,32,0,407,-504,10.5,-111,101,55.5,106,-118,0,1.0,33.75,23.5,0.5,23.5,25.5
2019,REG,5,GB,34,DAL,24,-10,58,0,162,-181,3.5,-113,102,46.5,-107,-104,0,0.75,26.75,14.0,0.75,21.25,17.25
2019,REG,5,DEN,20,LAC,13,-7,33,0,199,-226,4.0,102,-113,46.0,101,-113,0,0.5,22.5,18.5,0.0,17.5,23.25
2019,REG,5,NE,33,WAS,7,-26,40,0,-963,695,-15.5,-112,101,42.0,-109,-102,0,0.0,16.5,29.5,1.0,30.5,6.75
2019,REG,5,BUF,14,TEN,7,-7,21,0,162,-182,3.5,-110,-101,39.5,-101,-111,0,0.5,22.75,15.5,0.75,19.0,15.75
2019,REG,5,BAL,26,PIT,23,-3,49,1,-179,160,-3.5,102,-113,44.0,-108,-103,0,0.25,19.0,22.0,0.5,33.75,25.0
2019,REG,5,NYJ,6,PHI,31,25,37,0,587,-782,14.0,-109,-101,43.0,-105,-106,1,0.5,27.5,26.25,0.0,11.0,23.333333333333332
2019,REG,5,CHI,21,OAK,24,3,45,0,-266,232,-6.5,-101,-110,39.5,-106,-105,1,0.5,19.75,25.5,0.75,16.5,11.25
2019,REG,5,MIN,28,NYG,10,-18,38,0,-243,213,-5.5,-116,105,44.0,-105,-106,0,0.5,21.75,24.25,0.5,21.0,15.75
2019,REG,5,TB,24,NO,31,7,55,0,133,-148,3.0,-118,107,46.0,-102,-109,1,0.75,21.0,23.0,0.5,30.75,29.25
2019,REG,5,ATL,32,HOU,53,21,85,0,184,-207,4.0,-101,-109,49.0,-110,-101,1,0.5,19.5,19.5,0.25,17.5,24.75
2019,REG,5,JAX,27,CAR,34,7,61,0,169,-189,3.0,119,-131,41.0,-110,-101,1,0.5,23.75,20.0,0.5,21.0,21.0
2019,REG,5,LA,29,SEA,30,1,59,0,111,-122,1.5,-104,-106,49.0,102,-113,1,0.75,25.75,22.25,0.75,29.25,26.0
2019,REG,6,HOU,31,KC,24,-7,55,0,166,-186,3.5,-108,-103,54.5,-108,-103,0,0.8,29.6,22.6,0.6,26.2,22.0
2019,REG,6,CIN,17,BAL,23,6,40,0,425,-531,10.5,-106,-104,47.0,-108,-103,1,0.6,32.2,24.6,0.0,16.0,27.2
2019,REG,6,DET,22,GB,23,1,45,0,176,-198,3.5,-102,-108,47.0,100,-111,1,0.8,23.8,18.6,0.75,24.25,23.75
2019,REG,6,PIT,24,LAC,17,-7,41,0,220,-252,6.0,-115,104,42.5,-105,-106,0,0.4,20.6,18.8,0.2,19.8,22.8
2019,REG,6,DAL,22,NYJ,24,2,46,0,-316,270,-7.0,-100,-110,43.5,102,-113,1,0.0,9.75,25.25,0.6,26.2,18.0
2019,REG,6,TEN,0,DEN,16,16,16,0,109,-121,1.0,103,-113,41.0,-102,-109,1,0.2,18.0,21.2,0.4,19.6,15.2
2019,REG,6,SF,20,LA,7,-13,27,0,133,-148,3.0,-110,-100,49.5,-111,-100,0,0.6,29.2,26.8,1.0,31.75,14.25
2019,REG,6,ATL,33,ARI,34,1,67,0,-161,145,-3.0,-108,-102,52.5,101,-113,1,0.2,20.0,27.6,0.2,20.4,30.4
2019,REG,6,PHI,20,MIN,38,18,58,0,157,-176,3.5,-115,105,44.0,-110,-101,1,0.6,22.4,14.6,0.6,28.2,22.2
2019,REG,6,SEA,32,CLE,28,-4,60,0,102,-113,1.0,-104,-106,45.5,-107,-104,0,0.4,18.4,24.4,0.8,26.6,23.6
2019,REG,6,NO,13,JAX,6,-7,19,0,126,-139,2.5,100,-110,42.5,-108,-103,0,0.4,22.2,23.6,0.8,23.0,23.2
2019,REG,6,WAS,17,MIA,16,-1,33,0,-240,210,-6.0,-101,-109,42.0,-105,-106,0,0.0,6.5,40.75,0.0,14.6,30.2
2019,REG,6,NYG,14,NE,35,21,49,0,756,-1071,16.5,-106,-104,43.0,-113,102,1,1.0,31.0,6.8,0.4,19.4,25.0
2019,REG,6,CAR,37,TB,26,-11,63,0,-125,113,-2.0,-100,-110,48.5,-104,-107,0,0.4,29.4,29.6,0.6,25.8,21.4
2019,REG,7,KC,30,DEN,6,-24,36,0,-149,134,-3.0,104,-115,49.5,-111,100,0,0.3333333333333333,17.666666666666668,17.666666666666668,0.6666666666666666,28.666666666666668,24.0
2019,REG,7,LA,37,ATL,10,-27,47,0,-154,139,-3.0,-105,-105,54.5,-107,-104,0,0.16666666666666666,22.5,31.0,0.5,25.5,25.666666666666668
2019,REG,7,MIA,21,BUF,31,10,52,0,793,-1137,17.0,-103,-108,42.5,-100,-111,1,0.8,18.0,14.0,0.0,8.4,36.0
2019,REG,7,JAX,27,CIN,17,-10,44,0,-214,189,-4.0,-116,105,44.5,100,-111,0,0.0,16.166666666666668,26.5,0.3333333333333333,19.5,21.833333333333332
2019,REG,7,MIN,42,DET,30,-12,72,0,-137,124,-2.5,-110,-100,43.5,102,-114,0,0.6,23.8,23.6,0.6666666666666666,25.0,15.5
2019,REG,7,OAK,24,GB,42,18,66,0,211,-241,5.5,-103,-107,48.0,101,-113,1,0.8333333333333334,23.666666666666668,19.166666666666668,0.6,20.6,24.6
2019,REG,7,HOU,23,IND,30,7,53,0,109,-120,1.5,-104,-106,46.5,100,-111,1,0.6,22.6,23.0,0.6666666666666666,27.0,22.333333333333332
2019,REG,7,ARI,27,NYG,21,-6,48,0,168,-188,3.5,-106,-104,49.5,-101,-110,0,0.3333333333333333,18.5,26.666666666666668,0.3333333333333333,22.333333333333332,28.5
2019,REG,7,SF,9,WAS,0,-9,9,0,-424,350,-10.0,-104,-106,39.0,-100,-111,0,0.16666666666666666,15.0,27.833333333333332,1.0,29.4,12.8
2019,REG,7,LAC,20,TEN,23,3,43,0,141,-157,3.0,-107,-103,42.5,-105,-106,1,0.3333333333333333,16.333333333333332,15.333333333333334,0.3333333333333333,20.0,19.666666666666668
2019,REG,7,NO,36,CHI,25,-11,61,0,188,-213,4.0,100,-110,37.0,-101,-111,0,0.6,17.4,13.8,0.8333333333333334,21.333333333333332,20.333333333333332
2019,REG,7,BAL,30,SEA,16,-14,46,0,141,-157,3.0,-104,-106,49.0,105,-117,0,0.8333333333333334,27.5,24.333333333333332,0.6666666666666666,30.666666666666668,23.333333333333332
2019,REG,7,PHI,10,DAL,37,27,47,0,148,-165,3.0,101,-111,50.0,-106,-105,1,0.5,25.5,19.0,0.5,26.833333333333332,24.833333333333332
2019,REG,7,NE,33,NYJ,0,-33,33,0,-371,311,-9.5,-106,-104,43.0,100,-112,0,0.2,12.6,24.6,1.0,31.666666666666668,8.0
2019,REG,8,CIN,10,LA,24,14,34,0,467,-594,12.0,-112,102,48.5,105,-117,1,0.5714285714285714,27.142857142857142,23.428571428571427,0.0,16.285714285714285,26.571428571428573
2019,REG,8,GB,31,KC,24,-7,55,0,-230,202,-5.0,-108,-102,48.0,103,-108,0,0.7142857142857143,28.857142857142858,21.428571428571427,0.8571428571428571,26.285714285714285,19.857142857142858
2019,REG,8,MIA,14,PIT,27,13,41,0,491,-630,14.0,-107,-103,44.0,-106,-105,1,0.3333333333333333,20.5,21.833333333333332,0.0,10.5,35.166666666666664
2019,REG,8,CLE,13,NE,27,14,40,0,309,-367,9.5,-107,-103,43.0,102,-114,1,1.0,31.857142857142858,6.857142857142857,0.3333333333333333,20.0,25.666666666666668
2019,REG,8,OAK,24,HOU,27,3,51,0,207,-236,5.0,-107,-103,52.0,-110,-101,1,0.5714285714285714,26.428571428571427,23.428571428571427,0.5,21.166666666666668,27.5
2019,REG,8,CAR,13,SF,51,38,64,0,184,-208,4.5,-112,102,41.0,103,-114,1,1.0,26.0,10.666666666666666,0.6666666666666666,27.666666666666668,22.166666666666668
2019,REG,8,TB,23,TEN,27,4,50,0,110,-122,2.0,-110,-100,45.5,102,-114,1,0.42857142857142855,17.285714285714285,16.0,0.3333333333333333,28.833333333333332,30.833333333333332
2019,REG,8,ARI,9,NO,31,22,40,0,467,-625,12.5,-108,-102,47.5,-110,-101,1,0.8571428571428571,23.428571428571427,21.0,0.42857142857142855,23.0,27.428571428571427
2019,REG,8,NYJ,15,JAX,29,14,44,0,254,-295,7.0,-115,105,39.5,-102,-109,1,0.42857142857142855,20.571428571428573,21.142857142857142,0.16666666666666666,10.5,26.0
2019,REG,8,DEN,13,IND,15,2,28,0,209,-238,6.0,-117,106,41.0,-111,-100,1,0.6666666666666666,23.833333333333332,23.0,0.2857142857142857,16.0,19.428571428571427
2019,REG,8,NYG,26,DET,31,5,57,0,232,-267,6.5,-113,102,49.0,100,-112,1,0.5,24.833333333333332,26.666666666666668,0.2857142857142857,18.857142857142858,26.714285714285715
2019,REG,8,LAC,17,CHI,16,-1,33,0,163,-182,3.5,-107,-103,41.0,-104,-107,0,0.5,18.666666666666668,17.5,0.2857142857142857,20.0,20.142857142857142
2019,REG,8,PHI,31,BUF,13,-18,44,0,111,-122,1.0,102,-113,39.5,105,-117,0,0.8333333333333334,20.166666666666668,15.166666666666666,0.42857142857142855,24.428571428571427,26.571428571428573
2019,REG,8,SEA,27,ATL,20,-7,47,0,-323,275,-7.5,106,-117,48.5,-102,-110,0,0.14285714285714285,20.714285714285715,31.857142857142858,0.7142857142857143,25.857142857142858,25.142857142857142
2019,REG,8,WAS,9,MIN,19,10,28,0,729,-1023,16.5,-104,-106,42.0,100,-112,1,0.7142857142857143,27.428571428571427,17.571428571428573,0.14285714285714285,12.857142857142858,25.142857142857142
2019,REG,9,TEN,20,CAR,30,10,50,0,160,-179,3.5,-109,-101,43.0,-104,-107,1,0.5714285714285714,25.571428571428573,26.285714285714285,0.5,18.5,16.875
2019,REG,9,SF,28,ARI,25,-3,53,0,-445,365,-10.5,100,-111,43.5,103,-115,0,0.375,21.25,27.875,1.0,29.571428571428573,11.0
2019,REG,9,HOU,26,JAX,3,-23,29,0,103,-113,1.0,-104,-106,46.0,-106,-105,0,0.5,21.625,20.375,0.625,26.5,23.5
2019,REG,9,WAS,9,BUF,24,15,33,0,368,-449,10.5,-112,102,37.0,-104,-107,1,0.7142857142857143,19.142857142857142,17.428571428571427,0.125,12.375,24.375
2019,REG,9,NYJ,18,MIA,26,8,44,0,-187,167,-3.5,-103,-107,42.5,-108,-103,1,0.0,11.0,34.0,0.14285714285714285,11.142857142857142,26.428571428571427
2019,REG,9,CHI,14,PHI,22,8,36,0,199,-226,5.0,-106,-104,41.0,-102,-109,1,0.5,25.25,24.875,0.42857142857142855,18.285714285714285,17.428571428571427
2019,REG,9,IND,24,PIT,26,2,50,0,107,-117,1.0,101,-111,39.5,-102,-109,1,0.42857142857142855,21.428571428571427,20.714285714285715,0.7142857142857143,22.571428571428573,21.571428571428573
2019,REG,9,DET,24,OAK,31,7,55,0,129,-143,2.5,104,-115,51.5,-106,-105,1,0.42857142857142855,21.571428571428573,27.428571428571427,0.5714285714285714,25.714285714285715,26.571428571428573
2019,REG,9,TB,34,SEA,40,6,74,1,185,-209,4.0,-105,-105,51.0,107,-119,1,0.75,26.0,24.5,0.2857142857142857,28.0,30.285714285714285
2019,REG,9,CLE,19,DEN,24,5,43,0,-194,173,-4.0,-102,-108,39.0,-104,-107,1,0.25,15.625,18.875,0.2857142857142857,19.0,25.857142857142858
2019,REG,9,GB,11,LAC,26,15,37,0,-208,184,-4.0,-111,100,50.0,-109,-103,1,0.375,19.625,19.625,0.875,26.875,20.375
2019,REG,9,NE,20,BAL,37,17,57,0,-150,135,-3.0,100,-110,44.5,-111,-101,1,0.7142857142857143,30.571428571428573,22.285714285714285,1.0,31.25,7.625
2019,REG,9,DAL,37,NYG,18,-19,55,0,-297,255,-6.5,-101,-109,48.5,102,-114,0,0.25,19.75,27.25,0.5714285714285714,27.142857142857142,17.714285714285715
2019,REG,9,MIN,23,KC,26,3,49,0,-225,198,-5.5,-101,-109,46.0,-100,-111,1,0.625,28.25,22.625,0.75,26.375,16.5
2019,REG,10,CAR,16,GB,24,8,40,0,200,-227,5.0,-100,-110,49.0,-107,-104,1,0.7777777777777778,25.11111111111111,21.0,0.625,26.125,25.5
2019,REG,10,BAL,49,CIN,13,-36,62,0,-435,358,-10.5,104,-114,44.0,-104,-107,0,0.0,15.5,26.25,0.75,31.375,22.0
2019,REG,10,DET,13,CHI,20,7,33,0,235,-270,6.0,101,-111,38.0,-114,103,1,0.375,17.75,18.0,0.5,25.5,27.125
2019,REG,10,LAC,24,OAK,26,2,50,0,-117,106,-1.0,-110,-100,49.0,-103,-108,1,0.5,22.75,27.0,0.4444444444444444,20.333333333333332,18.666666666666668
2019,REG,10,NYG,27,NYJ,34,7,61,0,-147,133,-3.0,104,-115,43.0,-109,-102,1,0.125,12.0,26.375,0.2222222222222222,19.555555555555557,28.333333333333332
2019,REG,10,BUF,16,CLE,19,3,35,0,136,-151,3.0,-108,-102,42.0,-113,102,1,0.25,19.0,25.625,0.75,19.75,16.375
2019,REG,10,ATL,26,NO,9,-17,35,0,503,-649,14.0,-114,103,51.5,-110,-101,0,0.875,24.375,19.5,0.125,20.625,31.25
2019,REG,10,SEA,27,SF,24,-3,51,1,233,-268,6.5,-104,-106,47.0,-104,-107,0,1.0,29.375,12.75,0.7777777777777778,27.555555555555557,25.555555555555557
2019,REG,10,MIN,28,DAL,24,-4,52,0,160,-179,3.5,-113,103,48.5,100,-112,0,0.625,28.375,17.75,0.6666666666666666,26.0,17.555555555555557
2019,REG,10,LA,12,PIT,17,5,29,0,-214,189,-4.0,-113,103,43.0,-114,103,1,0.5,22.0,21.125,0.625,26.75,21.75
2019,REG,10,MIA,16,IND,12,-4,28,0,390,-481,11.0,-109,-101,44.5,-102,-109,0,0.625,22.75,22.125,0.125,12.875,32.0
2019,REG,10,KC,32,TEN,35,3,67,0,-233,205,-5.0,-108,-102,49.0,-104,-107,1,0.4444444444444444,18.666666666666668,18.333333333333332,0.6666666666666666,28.0,22.666666666666668
2019,REG,10,ARI,27,TB,30,3,57,0,207,-235,5.5,100,-110,51.0,-113,101,1,0.25,28.75,31.5,0.3333333333333333,21.666666666666668,27.88888888888889
2019,REG,11,JAX,13,IND,33,20,46,0,121,-134,2.5,-103,-108,41.5,103,-115,1,0.5555555555555556,21.555555555555557,21.444444444444443,0.4444444444444444,19.555555555555557,21.0
2019,REG,11,DAL,35,DET,27,-8,62,0,-369,310,-7.5,102,-113,46.5,101,-112,0,0.4444444444444444,24.11111111111111,26.333333333333332,0.5555555555555556,27.88888888888889,18.88888888888889
2019,REG,11,ATL,29,CAR,3,-26,32,0,177,-199,3.5,-100,-110,49.0,-108,-103,0,0.5555555555555556,25.0,25.333333333333332,0.2222222222222222,21.22222222222222,28.77777777777778
2019,REG,11,HOU,7,BAL,41,34,48,0,192,-217,4.0,-102,-108,51.0,-105,-106,1,0.7777777777777778,33.333333333333336,21.0,0.6666666666666666,26.444444444444443,21.22222222222222
2019,REG,11,PIT,7,CLE,21,14,28,0,146,-163,3.0,101,-112,41.5,-108,-103,1,0.3333333333333333,19.0,24.555555555555557,0.5555555555555556,21.444444444444443,20.11111111111111
2019,REG,11,CHI,7,LA,17,10,24,0,204,-233,5.0,-107,-103,40.0,-109,-102,1,0.5555555555555556,25.11111111111111,21.22222222222222,0.4444444444444444,18.0,17.444444444444443
2019,REG,11,NE,17,PHI,10,-7,27,0,-210,186,-4.5,101,-112,45.0,-100,-111,0,0.5555555555555556,24.88888888888889,23.666666666666668,0.8888888888888888,30.0,10.88888888888889
2019,REG,11,CIN,10,OAK,17,7,27,0,474,-605,13.0,-108,-102,48.0,-106,-105,1,0.5555555555555556,23.11111111111111,26.666666666666668,0.0,15.222222222222221,28.77777777777778
2019,REG,11,ARI,26,SF,36,10,62,0,353,-429,10.0,-113,103,44.0,-114,103,1,0.8888888888888888,28.77777777777778,14.333333333333334,0.3,22.2,28.1
2019,REG,11,NYJ,34,WAS,17,-17,51,0,111,-122,1.0,104,-114,37.5,-103,-108,0,0.1111111111111111,12.0,24.333333333333332,0.2222222222222222,14.444444444444445,26.444444444444443
2019,REG,11,NO,34,TB,17,-17,51,0,-230,202,-5.0,-108,-102,50.5,-114,102,0,0.3333333333333333,28.88888888888889,31.0,0.7777777777777778,22.666666666666668,20.22222222222222
2019,REG,11,DEN,23,MIN,27,4,50,0,341,-412,10.0,-119,107,40.5,-100,-111,1,0.7,26.2,18.2,0.3333333333333333,16.555555555555557,18.88888888888889
2019,REG,11,BUF,37,MIA,20,-17,57,0,-307,263,-7.0,-109,-101,41.5,-106,-105,0,0.2222222222222222,13.222222222222221,29.77777777777778,0.6666666666666666,19.333333333333332,16.666666666666668
2019,REG,11,KC,24,LAC,17,-7,41,0,-243,213,-5.5,-106,-104,52.5,-106,-105,0,0.4,20.7,19.4,0.6,28.4,23.9
2019,REG,12,PIT,16,CIN,10,-6,26,0,-225,199,-5.5,-106,-104,37.5,-102,-109,0,0.0,14.7,27.6,0.5,20.0,20.2
2019,REG,12,NYG,14,CHI,19,5,33,0,220,-252,6.0,-110,-100,41.0,103,-115,1,0.4,16.9,17.4,0.2,20.3,28.9
2019,REG,12,DEN,3,BUF,20,17,23,0,170,-190,3.5,-106,-104,37.0,-115,104,1,0.7,21.1,17.0,0.3,17.2,19.7
2019,REG,12,TB,35,ATL,22,-13,57,0,163,-183,3.5,-110,-100,51.5,-111,100,0,0.3,22.0,26.2,0.3,27.7,31.3
