season,game_type,week,away_team,away_score,home_team,home_score,result,total,overtime,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,home_team_win,home_win_pct,home_ppg,home_opp_ppg,home_third_down_pct,home_third_down_stop_pct,home_sacks_per_game,home_turnover_diff,away_win_pct,away_ppg,away_opp_ppg,away_third_down_pct,away_third_down_stop_pct,away_sacks_per_game,away_turnover_diff
2019,REG,2,PHI,20,ATL,24,4,44,0,-105,-105,-1.0,102,-112,53.0,-105,-106,1,0.0,12.0,28.0,0.13333333333333333,0.5454545454545454,1.0,-3.0,1.0,32.0,27.0,0.6470588235294118,0.6875,1.0,0.0
2019,REG,3,CIN,17,BUF,21,4,38,0,220,-252,5.5,-104,-106,43.5,-107,-104,1,1.0,22.5,15.0,0.3939393939393939,0.6869747899159664,2.5,-0.5,0.0,18.5,31.0,0.40350877192982454,0.6071428571428572,2.0,0.0
2019,REG,3,TEN,7,JAX,20,13,27,0,-125,113,-1.5,-109,-101,38.0,-100,-111,1,0.0,19.0,26.5,0.35,0.6449579831932772,2.0,-1.5,0.5,30.0,16.0,0.11858974358974358,0.7486631016042781,4.0,2.5
2019,REG,3,MIA,6,DAL,31,25,37,0,1454,-2540,22.0,102,-112,46.5,-103,-108,1,1.0,33.0,19.0,0.5643939393939394,0.8090909090909091,1.0,0.5,0.0,5.0,51.0,0.203030303030303,0.4807692307692308,1.5,-2.0
2019,REG,3,DEN,16,GB,27,11,43,0,278,-327,7.0,-108,-102,42.0,104,-116,1,1.0,15.5,9.5,0.23809523809523808,0.7579185520361991,3.0,1.5,0.0,15.0,20.0,0.30714285714285716,0.5178571428571428,0.0,-0.5
2019,REG,3,ATL,24,IND,27,3,51,0,105,-116,1.0,100,-111,48.0,-107,-104,1,0.5,21.5,23.5,0.4751131221719457,0.6891025641025641,4.0,-1.0,0.5,18.0,24.0,0.203030303030303,0.5584415584415584,2.0,-1.5
2019,REG,3,BAL,28,KC,33,5,61,0,191,-216,4.5,-108,-102,52.0,-103,-108,1,1.0,34.0,18.0,0.3890977443609023,0.5625,2.0,1.5,1.0,41.0,13.5,0.5192307692307692,0.7803030303030303,3.0,0.5
2019,REG,3,OAK,14,MIN,34,20,48,0,337,-405,8.5,-105,-105,43.0,-114,102,1,0.5,22.0,16.5,0.38111888111888115,0.7666666666666667,3.0,0.5,0.5,17.0,22.0,,,,0.0
2019,REG,3,NYJ,14,NE,30,16,44,0,1203,-1962,20.5,-109,-101,43.0,-104,-107,1,1.0,38.0,1.5,0.5,0.8333333333333334,4.0,2.0,0.0,9.5,20.0,0.261437908496732,0.6393939393939394,2.0,1.5
2019,REG,3,DET,27,PHI,24,-3,51,0,188,-212,4.0,-104,-106,45.0,103,-115,0,0.5,26.0,25.5,0.5378151260504201,0.7073863636363636,1.0,0.0,1.0,20.0,18.5,0.3318181818181818,0.5900621118012422,3.0,0.5
2019,REG,3,CAR,38,ARI,20,-18,58,0,118,-131,2.5,-114,103,46.0,-104,-107,0,0.0,22.0,25.0,0.27898550724637683,0.6,2.5,-0.5,0.0,20.5,25.0,0.30208333333333337,0.6917293233082707,2.0,-1.5
2019,REG,3,NYG,32,TB,31,-1,63,0,202,-230,5.0,-103,-107,48.0,101,-113,0,0.5,18.5,22.5,0.25,0.75,2.0,-0.5,0.0,15.5,31.5,0.19805194805194803,0.5606060606060607,1.5,-2.0
2019,REG,3,HOU,27,LAC,20,-7,47,0,151,-168,3.0,104,-115,49.0,101,-112,0,0.5,20.0,18.5,0.48351648351648346,0.548951048951049,1.0,0.0,0.5,20.5,21.0,0.39522058823529416,0.6083333333333334,2.5,0.5
2019,REG,3,NO,33,SEA,27,-6,60,0,199,-225,5.0,-106,-105,44.0,-110,-101,0,1.0,24.5,23.0,0.3214285714285714,0.717948717948718,3.0,-0.5,0.5,19.5,27.5,0.43452380952380953,0.6026785714285714,4.5,0.0
2019,REG,3,PIT,20,SF,24,4,44,0,239,-276,6.0,-104,-107,44.5,-103,-108,1,1.0,36.0,17.0,0.40625,0.5845864661654135,3.5,1.0,0.0,14.5,30.5,0.2153846153846154,0.5714285714285714,2.5,0.0
2019,REG,3,LA,20,CLE,13,-7,33,0,-215,190,-4.0,-111,101,48.0,-112,100,0,0.5,18.0,23.0,0.17878787878787877,0.8675213675213675,4.0,-1.5,1.0,28.5,18.0,0.41541353383458646,0.6488095238095237,2.5,1.0
2019,REG,3,CHI,31,WAS,15,-16,46,0,-232,204,-5.0,-103,-107,41.0,100,-111,0,0.0,24.0,31.5,0.25625,0.3848039215686274,1.0,0.5,0.5,9.5,12.0,0.21323529411764708,0.8214285714285714,3.5,0.0
2019,REG,4,CIN,3,PIT,27,24,30,0,160,-179,3.5,-112,101,45.5,106,-118,1,0.0,16.333333333333332,28.333333333333332,0.22692307692307692,0.5476190476190476,2.0,1.0,0.0,18.0,27.666666666666668,0.3523391812865497,0.6098901098901099,1.6666666666666667,-0.6666666666666666
2019,REG,4,DAL,10,NO,12,2,22,0,-140,127,-2.5,-105,-105,47.0,-103,-108,1,0.6666666666666666,24.0,27.333333333333332,0.3611111111111111,0.6309523809523809,3.0,0.6666666666666666,1.0,32.333333333333336,14.666666666666666,0.5429292929292929,0.813903743315508,1.6666666666666667,0.3333333333333333
2019,REG,4,JAX,26,DEN,24,-2,50,0,124,-137,2.5,-102,-109,37.0,-109,-102,0,0.0,15.333333333333334,22.333333333333332,0.3825396825396825,0.6044973544973544,0.0,-1.3333333333333333,0.3333333333333333,19.333333333333332,20.0,0.28888888888888886,0.6151571739807034,4.333333333333333,-1.3333333333333333
2019,REG,4,MIN,6,CHI,16,10,22,0,-108,-102,-1.0,-101,-109,38.0,-105,-106,1,0.6666666666666666,16.666666666666668,13.0,0.3472850678733032,0.79004329004329,3.6666666666666665,1.3333333333333333,0.6666666666666666,26.0,15.666666666666666,0.42074592074592077,0.7535353535353536,3.3333333333333335,0.6666666666666666
2019,REG,4,TB,55,LA,40,-15,95,0,385,-473,9.0,-104,-106,48.5,-104,-107,0,1.0,25.666666666666668,16.333333333333332,0.4019423558897243,0.6547619047619048,2.6666666666666665,0.0,0.3333333333333333,22.666666666666668,25.666666666666668,0.25555555555555554,0.7000000000000001,3.0,0.0
2019,REG,4,SEA,27,ARI,10,-17,37,0,-238,209,-5.5,-107,-103,49.0,-101,-110,0,0.0,21.333333333333332,29.333333333333332,0.36246092639954536,0.6121212121212122,2.3333333333333335,-0.6666666666666666,0.6666666666666666,25.333333333333332,26.333333333333332,0.31845238095238093,0.7405372405372406,2.0,-1.0
2019,REG,4,WAS,3,NYG,24,21,27,0,146,-163,3.0,-101,-109,48.0,-105,-106,1,0.3333333333333333,21.0,31.333333333333332,0.26536796536796536,0.6181818181818183,2.3333333333333335,-1.6666666666666667,0.0,21.0,31.333333333333332,0.2617424242424242,0.38474107591754647,1.6666666666666667,-1.0
2019,REG,4,LAC,30,MIA,10,-20,40,0,-806,602,-15.0,-103,-107,43.5,-113,101,0,0.0,5.333333333333333,44.333333333333336,0.19417706476530006,0.4871794871794872,1.3333333333333333,-1.3333333333333333,0.3333333333333333,20.0,21.333333333333332,0.42038353803059686,0.49930069930069926,1.3333333333333333,0.0
2019,REG,4,OAK,31,IND,24,-7,55,0,212,-242,5.5,-106,-104,46.0,-108,-103,0,0.6666666666666666,23.333333333333332,23.666666666666668,0.4556309703368527,0.5876068376068376,2.6666666666666665,-0.3333333333333333,0.3333333333333333,16.0,26.0,,,,0.0
2019,REG,4,CAR,16,HOU,10,-6,26,0,224,-257,5.5,-100,-110,47.5,-106,-105,0,0.6666666666666666,22.666666666666668,20.666666666666668,0.4634803921568628,0.6408496732026144,3.3333333333333335,0.3333333333333333,0.3333333333333333,26.333333333333332,23.333333333333332,0.3226010101010101,0.618015627303553,4.0,-0.6666666666666666
2019,REG,4,KC,34,DET,30,-4,64,0,-364,307,-7.5,105,-116,54.5,101,-113,0,1.0,22.333333333333332,20.333333333333332,0.3545454545454545,0.5894531725733771,3.0,1.0,1.0,33.666666666666664,21.333333333333332,0.41091364775575306,0.5801282051282052,2.3333333333333335,1.0
2019,REG,4,NE,16,BUF,10,-6,26,0,-321,274,-7.0,-102,-108,41.5,-103,-108,0,1.0,22.0,15.666666666666666,0.3908313908313908,0.707983193277311,2.3333333333333335,0.3333333333333333,1.0,35.333333333333336,5.666666666666667,0.45098039215686275,0.888888888888889,4.333333333333333,1.6666666666666667
2019,REG,4,PHI,34,GB,27,-7,61,0,169,-190,3.5,-110,-100,46.0,-112,100,0,1.0,19.333333333333332,11.666666666666666,0.2328042328042328,0.6608345902463549,4.0,2.0,0.3333333333333333,25.333333333333332,26.0,0.4957983193277311,0.671590909090909,0.6666666666666666,-0.6666666666666666
2019,REG,4,TEN,24,ATL,10,-14,34,0,156,-174,3.5,-113,102,46.0,-113,101,0,0.3333333333333333,20.0,25.0,0.34048174048174046,0.5667388167388167,1.6666666666666667,-1.3333333333333333,0.3333333333333333,22.333333333333332,17.333333333333332,0.22720797720797722,0.7768865121806298,2.6666666666666665,2.0
2019,REG,4,CLE,40,BAL,25,-15,65,0,279,-327,7.5,-117,106,47.0,-104,-107,0,0.6666666666666666,36.666666666666664,20.0,0.4743589743589743,0.702020202020202,2.3333333333333335,0.3333333333333333,0.3333333333333333,16.333333333333332,22.0,0.23030303030303031,0.7866809116809117,3.3333333333333335,-0.3333333333333333
2019,REG,5,CLE,3,SF,31,28,34,0,199,-226,5.0,101,-111,47.5,-111,-100,1,1.0,32.0,18.0,0.4375,0.6397243107769424,3.0,-0.3333333333333333,0.5,22.25,22.75,0.2727272727272727,0.7400106837606838,3.5,0.25
2019,REG,5,ARI,26,CIN,23,-3,49,0,139,-154,3.0,-106,-104,45.0,-115,103,0,0.0,14.25,27.5,0.3309210526315789,0.6240842490842491,1.25,-0.75,0.0,18.5,28.75,0.35517902813299235,0.6090909090909091,2.75,-0.75
